"ID","level","contour_value","depth_label","corridor_id","buffer_distance","nominal_corridor_width","overlap_policy","area_m2","slope_deg"
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,21.258108900401
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,27.2335052050102
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,32.610142001337
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,37.0884850697777
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,34.673482615123
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,34.4831835246642
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,41.2465362767229
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,53.801102459765
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,64.6428168141987
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,67.1202607304079
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,68.5628201917991
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,74.9989290496018
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,75.1595918192961
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,70.7368645947887
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,NA
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,19.4914113068637
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,15.4300533554647
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,16.043271659183
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,13.5890357964865
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,17.1408605033261
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,24.8985712617006
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,34.1133295117907
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,39.3528489900984
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,38.9645064998986
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,35.1880818814537
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,33.8806268616097
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,35.3838365444091
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,26.7329339286231
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,22.1852242674055
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,18.352407381423
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,31.6318272874117
1,-100,-100,"-100",1,20,40,"independent_may_overlap",176953.025483732,46.0864362985843
