"zone_id","polygon_provenance","offset","angle_deg","angle_source","mean_aspect_deg","orientation_weight","n_orientation_cells","orientation_resultant_length","transect_id","distance","x","y","elevation_m","depth_m"
"1","author-created deterministic analytical window",-343.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_2",1156.30487739335,711092.984207361,1976946.48484848,-700.609985351562,700.609985351562
"1","author-created deterministic analytical window",-343.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_2",1168.4765076817,711091.877500269,1976934.36363636,-702.137074399533,702.137074399533
"1","author-created deterministic analytical window",-343.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_2",1180.64813797005,711090.770793176,1976922.24242424,-703.546366703208,703.546366703208
"1","author-created deterministic analytical window",-343.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_2",1192.8197682584,711089.664086083,1976910.12121212,-706.123012658393,706.123012658393
"1","author-created deterministic analytical window",-343.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_2",1204.99139854675,711088.557378991,1976898,-707.489990234375,707.489990234375
"1","author-created deterministic analytical window",-93.9088914585775,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_3",0,710947.081506464,1978098,-414.809997558594,414.809997558594
"1","author-created deterministic analytical window",-93.9088914585775,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_3",12.171630288351,710945.974799372,1978085.87878788,-418.968394458811,418.968394458811
"1","author-created deterministic analytical window",-93.9088914585775,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_3",24.343260576702,710944.868092279,1978073.75757576,-423.010209565362,423.010209565362
"1","author-created deterministic analytical window",-93.9088914585775,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_3",36.5148908650531,710943.761385186,1978061.63636364,-428.90868422358,428.90868422358
"1","author-created deterministic analytical window",-93.9088914585775,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_3",48.6865211534041,710942.654678094,1978049.51515152,-432.438323587978,432.438323587978
"1","author-created deterministic analytical window",-93.9088914585775,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_3",60.8581514417551,710941.547971001,1978037.39393939,-437.428217929097,437.428217929097
"1","author-created deterministic analytical window",-93.9088914585775,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_3",73.0297817301062,710940.441263909,1978025.27272727,-441.842494909614,441.842494909614
"1","author-created deterministic analytical window",-93.9088914585775,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_3",85.2014120184572,710939.334556816,1978013.15151515,-443.880366332313,443.880366332313
"1","author-created deterministic analytical window",-93.9088914585775,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_3",97.3730423068082,710938.227849723,1978001.03030303,-446.762530065954,446.762530065954
"1","author-created deterministic analytical window",-93.9088914585775,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_3",109.544672595159,710937.121142631,1977988.90909091,-451.984913263259,451.984913263259
