"zone_id","polygon_provenance","offset","angle_deg","angle_source","mean_aspect_deg","orientation_weight","n_orientation_cells","orientation_resultant_length","transect_id","distance","x","y","elevation_m","slope_deg"
"1","author-created deterministic analytical window",-343.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_5",1014.72959877621,711180.821801871,1977908.52631579,-492.27054705869,9.97491122732813
"1","author-created deterministic analytical window",-343.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_5",1078.15019869973,711186.588328301,1977971.68421053,-468.609985351562,7.86626960987397
"1","author-created deterministic analytical window",-343.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_5",1141.57079862324,711192.354854731,1978034.84210526,-449.501696055721,9.62668505413176
"1","author-created deterministic analytical window",-343.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_5",1204.99139854675,711198.121381162,1978098,-426.422493158994,16.674047208445
"1","author-created deterministic analytical window",-243.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_6",0,710988.141429112,1976898,-707.050181046238,13.0758278358838
"1","author-created deterministic analytical window",-243.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_6",63.4205999235133,710993.907955542,1976961.15789474,-694.97998046875,6.27846363941693
"1","author-created deterministic analytical window",-243.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_6",126.841199847027,710999.674481972,1977024.31578947,-682.419982910156,13.5310549757934
"1","author-created deterministic analytical window",-243.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_6",190.26179977054,711005.441008402,1977087.47368421,-669.775863434762,13.9862898861712
"1","author-created deterministic analytical window",-243.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_6",253.682399694053,711011.207534832,1977150.63157895,-656.341589676681,17.1546212611927
"1","author-created deterministic analytical window",-243.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_6",317.102999617567,711016.974061262,1977213.78947368,-644.341117157376,9.62805102985078
"1","author-created deterministic analytical window",-243.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_6",380.52359954108,711022.740587692,1977276.94736842,-632.798317638383,17.0576937242385
"1","author-created deterministic analytical window",-243.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_6",443.944199464593,711028.507114122,1977340.10526316,-620.367645263654,16.7168312620019
"1","author-created deterministic analytical window",-243.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_6",507.364799388106,711034.273640552,1977403.26315789,-608.606272791385,15.6883642165298
"1","author-created deterministic analytical window",-243.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_6",570.78539931162,711040.040166982,1977466.42105263,-597.810497808915,14.5626374752463
"1","author-created deterministic analytical window",-243.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_6",634.205999235133,711045.806693412,1977529.57894737,-585.255807977035,20.2775679292531
"1","author-created deterministic analytical window",-243.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_6",697.626599158646,711051.573219842,1977592.73684211,-572.059977567251,17.326346025736
"1","author-created deterministic analytical window",-243.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_6",761.04719908216,711057.339746272,1977655.89473684,-558.015269577417,14.5257220267114
"1","author-created deterministic analytical window",-243.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_6",824.467799005673,711063.106272702,1977719.05263158,-543.830017089844,12.4276299606733
"1","author-created deterministic analytical window",-243.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_6",887.888398929186,711068.872799132,1977782.21052632,-527.043140710484,11.9219122369037
"1","author-created deterministic analytical window",-243.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_6",951.3089988527,711074.639325562,1977845.36842105,-507.432689187176,14.8795836522383
"1","author-created deterministic analytical window",-243.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_6",1014.72959877621,711080.405851992,1977908.52631579,-488.848416839833,4.56814455885677
"1","author-created deterministic analytical window",-243.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_6",1078.15019869973,711086.172378422,1977971.68421053,-470.471294402375,12.2497609759723
"1","author-created deterministic analytical window",-243.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_6",1141.57079862324,711091.938904852,1978034.84210526,-451.820007324219,8.6245214343819
"1","author-created deterministic analytical window",-243.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_6",1204.99139854675,711097.705431283,1978098,-428.667609468318,11.7151149409249
"1","author-created deterministic analytical window",-143.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_7",0,710887.725479233,1976898,-710.330017089844,9.06278491526468
"1","author-created deterministic analytical window",-143.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_7",63.4205999235128,710893.492005663,1976961.15789474,-698.164129576443,12.5267426866498
"1","author-created deterministic analytical window",-143.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_7",126.841199847026,710899.258532093,1977024.31578947,-685.47998046875,12.1825657549655
"1","author-created deterministic analytical window",-143.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_7",190.261799770538,710905.025058523,1977087.47368421,-670.993520176992,5.75090857783672
"1","author-created deterministic analytical window",-143.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_7",253.682399694051,710910.791584953,1977150.63157895,-656.269036206165,19.3529023134349
"1","author-created deterministic analytical window",-143.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_7",317.102999617564,710916.558111383,1977213.78947368,-644.038691470479,14.456600163224
"1","author-created deterministic analytical window",-143.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_7",380.523599541077,710922.324637813,1977276.94736842,-631.380544811251,19.1143752327295
"1","author-created deterministic analytical window",-143.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_7",443.944199464589,710928.091164243,1977340.10526316,-617.401600084759,19.5460600478584
"1","author-created deterministic analytical window",-143.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_7",507.364799388102,710933.857690673,1977403.26315789,-603.178924560511,19.8937979555494
"1","author-created deterministic analytical window",-143.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_7",570.785399311615,710939.624217103,1977466.42105263,-588.435647757958,20.1545881920596
"1","author-created deterministic analytical window",-143.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_7",634.205999235128,710945.390743533,1977529.57894737,-572.971387655148,16.6879364563479
"1","author-created deterministic analytical window",-143.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_7",697.62659915864,710951.157269963,1977592.73684211,-560.559228194433,19.5166161812298
"1","author-created deterministic analytical window",-143.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_7",761.047199082153,710956.923796393,1977655.89473684,-545.7110177952,10.3647655738872
"1","author-created deterministic analytical window",-143.908891458578,84.7831685109776,"surface",185.216831489022,"slope",103666,0.771333888758782,"1_7",824.467799005666,710962.690322823,1977719.05263158,-531.100418868635,16.8862516264123
